question,answer
What is dry age-related macular degeneration (AMD)?,Dry age-related macular degeneration (AMD) is the more common type of AMD. It develops very slowly and causes a gradual change in your central vision. 
What is age-related macular degeneration (AMD)?,Age-related macular degeneration (AMD) is a common condition that affects the middle part of your vision. It usually first affects people in their 50s and 60s. It does not cause total blindness. But it can make everyday activities like reading and recognising faces difficult.
Does AMD cause blindness?,AMD does not cause total blindness. But it can make everyday activities like reading and recognising faces difficult.
Does age-related macular degeneration cause blindness?,AMD does not cause total blindness. But it can make everyday activities like reading and recognising faces difficult.
How long does it take for dry AMD to develop?,"Dry AMD usually takes a long time – sometimes years, to get to its final stage. At its worst, dry AMD causes a blank patch in the centre of your vision in both of your eyes."
What is wet age-related macular degeneration (AMD)?,"About 10 to 15 per cent of people who develop AMD have wet AMD, often having had dry AMD to begin with. Wet AMD can develop very quickly, causing serious changes to your central vision in a short period of time, over days or weeks. You develop wet AMD when the cells of the macula stop working correctly and your body starts growing new blood vessels to fix the problem. As these blood vessels grow in the wrong place, they cause swelling and bleeding underneath the macula – this is why it’s called “wet” AMD. This new blood vessel growth is medically known as neovascularisation. It causes more damage to your macula and eventually leads to scarring. "
How long does it take for wet ADM to develop?,"Wet AMD can develop very quickly, causing serious changes to your central vision in a short period of time, over days or weeks."
Is there treatment for wet AMD?,"Treatment is available for wet AMD, which stops the new blood vessels from growing and damaging your macula. This treatment usually needs to be given quickly before the new blood vessels do too much damage to your macula. If the blood vessels are left to grow, the scarring and the sight loss they cause is usually permanent."
What is the treatment for dry AMD?,"Unfortunately, at the moment there is no way to treat dry AMD. Although research is going on to try and find out why the cells of the macula stop working, this has yet to lead to a proven treatment."
What is the treatment for wet AMD?,"The treatment available on the NHS for wet AMD is a group of medications called anti-vascular endothelial growth factor (anti-VEGF) drugs. As new blood vessels form in your eye, your body produces a chemical which encourages further new blood vessel growth. Anti-VEGF drugs interfere with this chemical and stop the vessels from growing, minimising further damage to your sight."
What are the symptoms of AMD and when should I seek help?,"Everyone can have slightly different symptoms for AMD, but usually the first thing you’ll notice is that it’s harder to see detail, such as small print. You may find that your vision has a small blurred area in the centre. Straight lines may look distorted or wavy, or like there’s a little bump in them. You may also find that you’re more sensitive to bright light.  You should have your eyes tested by an optometrist (also known as an optician) if you experience any of these in one or both eyes: You have difficulty reading small print despite wearing reading glasses. Straight lines start to look wavy or distorted. You can check this by looking at door and window frames, or tiles in your home. Your vision isn’t as clear as it used to be. If your optometrist finds any changes to your macula or any cause for concern, they’ll send a letter to your GP or sometimes directly to the hospital. Based on your optometrist’s letter, the hospital will judge how quickly you need to be seen by the ophthalmologist (also known as a hospital eye doctor) and arrange an appointment for you."
What are the symptoms of AMD?,"Everyone can have slightly different symptoms for AMD, but usually the first thing you’ll notice is that it’s harder to see detail, such as small print. You may find that your vision has a small blurred area in the centre. Straight lines may look distorted or wavy, or like there’s a little bump in them. You may also find that you’re more sensitive to bright light.  "
When should I seek help for AMD?,"You should have your eyes tested by an optometrist (also known as an optician) if you experience any of these in one or both eyes: You have difficulty reading small print despite wearing reading glasses. Straight lines start to look wavy or distorted. You can check this by looking at door and window frames, or tiles in your home. Your vision isn’t as clear as it used to be. If your optometrist finds any changes to your macula or any cause for concern, they’ll send a letter to your GP or sometimes directly to the hospital. Based on your optometrist’s letter, the hospital will judge how quickly you need to be seen by the ophthalmologist (also known as a hospital eye doctor) and arrange an appointment for you."
What is the macula?,"The macula is part of the retina at the back of the eye. It is only about 5mm across but is responsible for our central vision, most of our colour vision and the fine detail of what we see. The macula has a very high concentration of photoreceptor cells – the cells that detect light. They send signals to the brain, which interprets them as images. The rest of the retina processes our peripheral, or side vision."
Why have I developed AMD?,"The exact cause for AMD is not known. Some things are thought to make it more likely you’ll develop AMD, such as: your age, your genes, your lifestyle, smoking, sunligh, what you eat. In general, protecting your eyes from the sun, eating a balanced diet with plenty of fresh fruit and vegetables and stopping smoking, keeping active and maintaining a healthy weight and blood pressure may all help to keep your eyes as healthy as possible. Unfortunately, because the exact cause of AMD is not known, you may develop AMD even if you don’t have any of these risk factors."
What are the symptoms of AMD?,"As AMD progresses, many people see a blurry area near the center of their vision. Over time, this blurry area may get bigger or you may see blank spots. Things may also seem less bright than before.   Some people may also notice that straight lines start to look wavy. This can be a warning sign for late AMD. If you notice this symptom, see your eye doctor right away."
Am I at risk for AMD?,"Your risk for AMD increases as you get older. People over age 60 are more likely to have AMD. The risk for AMD is also higher for people who:   Have a family history of AMD Are Caucasian  Smoke   If you are at risk for AMD because of your age, family history, or other factors, it’s important to get regular eye exams. Early AMD doesn’t have any symptoms, so don’t wait for your vision to change! "
How can I lower my risk for AMD?,"Research shows that you may be able to lower your risk of AMD (or slow its progression) by making these healthy  choices:   quit smoking, get regular physical activity, maintain a healthy blood pressure and cholesterol levels, and eat healthy foods, including leafy green vegetables and fish."
How will my eye doctor check for AMD?,Eye doctors can check for AMD as part of a comprehensive dilated eye exam. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for AMD and other eye problems.
What’s the treatment for AMD?,"There’s currently no treatment for early AMD, so your eye doctor will probably just keep track of how your eyes are doing with regular eye exams. Eating healthy, getting regular exercise, and quitting smoking can also help.   If you are diagnosed with intermediate or late AMD, ask your eye doctor about treatment options and how the condition may affect your vision in the future. "
How do I live with vision loss from AMD?,"Not everyone with AMD develops late AMD or gets it in both eyes. But if you do, living with vision loss from AMD can be challenging. Having low vision means that even with glasses, contact lenses, medicine, or surgery, your vision loss makes it hard to do everyday tasks.    The good news is, there are things that can help — like low vision devices and rehabilitation (training) programs."
What is low vision?,"Low vision is a vision problem that makes it hard to do everyday activities. It can’t be fixed with glasses, contact lenses, or other standard treatments like medicine or surgery.   You may have low vision if you can’t see well enough to do things like:  read, drive, recognize people’s faces, tell colors apart, see your television or computer screen clearly "
What are the types of low vision?,"The type of low vision that you have depends on the disease or condition that caused your low vision. The most common types of low vision are:   central vision loss (not being able to see things in the center of your vision), peripheral vision loss (not being able to see things out of the corners of your eyes), night blindness (not being able to see in low light), and blurry or hazy vision"
What causes low vision?,"Many different eye conditions can cause low vision, but the most common causes are:   Age-related macular degeneration (AMD) , cataracts, diabetic retinopathy (a condition that can cause vision loss in people with diabetes), glaucoma.   Low vision is more common in older adults because many of the diseases that can cause it are more common in older adults. Aging doesn’t cause low vision on its own.   Eye and brain injuries and certain genetic disorders can also cause low vision.  "
What’s the treatment for low vision?,"Unfortunately, low vision is usually permanent. Eyeglasses, medicine, and surgery can’t usually cure low vision — but sometimes they can improve vision, help you do everyday activities more easily, or keep your vision from getting worse.    Treatment options will depend on the specific eye condition that caused your low vision. Ask your doctor if there are any treatments that could improve your vision or help protect your remaining vision."
How can I make the most of my remaining sight?,"If you have low vision, you can find ways to make the most of your vision and keep doing the things you love to do.   If your vision loss is minor, you may be able to make small changes to help yourself see better. You can do things like:   use brighter lights at home or work, wear anti-glare sunglasses, use a magnifying lens for reading and other up-close activities   If your vision loss is getting in the way of everyday activities, ask your eye doctor about vision rehabilitation. A specialist can help you learn how to live with your vision loss. This can include things like:  training on how to use a magnifying device for reading, guidance for setting up your home so you can move around easily, and sharing resources to help you cope with your vision loss   "
"If diagnosed with AMD, what questions should I ask my doctor?","Do I have wet macular degeneration or dry? Do I have it in one eye or both eyes? What stage of the disease do I have? How often should I come in for check-ups? What is the Amsler grid and how often should I perform a test with it at home? Are there things that I can do to delay disease progression? What are the current treatments for macular degeneration? Are there lifestyle changes that I should make? Should I alter my diet? Do my current medications affect disease progression? Should I begin to take vitamin supplements? Will vitamin supplementation interfere with medications, or vice versa? Are there any experimental treatments for macular degeneration?"
What is an Amsler grid?,"To discover any changes to your vision as early as possible, your eye care professional will probably have you test your own vision on a regular schedule using a small, hand-held Amsler grid. He or she may also do this at the office. At home, you will hold the chart at reading distance in good light, cover one eye, and focus on a black dot in the middle of the grid, then repeat with the other eye. If the lines of the grid appear dim, irregular, wavy, or fuzzy, you should schedule an eye exam immediately."
What is the retina and macula?,"The retina is a delicate layer that lines the back of the eye. It contains cells that detect light. The macula is the part of the retina responsible for your central vision (sight straight in front of you). The rest of the retina is responsible for your peripheral vision (sight at the edge of your vision). If you think of the eye like a camera that receives pictures, then the retina is like the film in the camera where those pictures are recorded."
What is the retina?,The retina is a delicate layer that lines the back of the eye. It contains cells that detect light.
What are the risks of having anti-VEGF injections?,"Systemic vascular risks such as a heart attack, stroke or transient ischaemic attack (also known as a “mini stroke”) are theoretically a potential risk associated with the use of these treatments, particularly if you have had such an event in the 12 months before the injection."
What are the Stages of AMD?,"There are three main stages to dry AMD. The first is Early-Stage AMD. At this stage, you might not have any noticeable symptoms. However, inside your eye, there may be some minor damage to the retina, along with small collections of deposits (drusen) and perhaps a few medium-sized deposits.  The second is Intermediate-Stage AMD. If your AMD has advanced to this stage, larger collections of drusen may be inside your eye, or the outer part of your macula may have some tissue damage. You’ll probably also notice that, in the centre of your vision, there’s a blurred spot.  The final stage is Advanced-Stage AMD. Now, in the centre of your vision, you may have a large blurred spot, which makes it difficult for you to recognise faces and read. This is because damage has been caused to the centre of your macula.  In cases of wet AMD, this is always treated as an advanced form of age-related macular degeneration."
What are the symptons of early-stage AMD?,"At  early-stage AMD, you might not have any noticeable symptoms. However, inside your eye, there may be some minor damage to the retina, along with small collections of deposits (drusen) and perhaps a few medium-sized deposits."
What are the symptons of Intermediate-Stage AMD?,"If your AMD has advanced to Intermediate-Stage AMD, larger collections of drusen may be inside your eye, or the outer part of your macula may have some tissue damage. You’ll probably also notice that, in the centre of your vision, there’s a blurred spot."
What are the symptons of Advanced-Stage AMD?,"If you have  Advanced-Stage AMD, in the centre of your vision you may have a large blurred spot, which makes it difficult for you to recognise faces and read. This is because damage has been caused to the centre of your macula. In cases of wet AMD, this is always treated as an advanced form of age-related macular degeneration."
Does the sun impact macular degeneration?,The blue rays emitted by the sun have been shown to accelerate macular degeneration more than any other rays on the spectrum. Sunlight or its reflection in the water or metals may cause the progression of macular degeneration. Sunglasses are an excellent way to block out these dangerous rays.
Does smoking affect the development of macular degeneration?,"Smoking cigarettes can accelerate the development of macular degeneration, especially the “wet” form. So think twice before lighting your next cigarette."
Why is Early Detection Important?,"Early detection is critical since macular degeneration can at times be treated before symptoms even appear. This may delay, or at the very least —reduce the severity of the condition."
Does high blood pressure affect macular degeneration?,"High blood pressure tends to worsen certain types of AMD, particularly the “wet” kind.  "
Is macular degeneration hereditary?,"Macular degeneration appears to be passed down from generation to generation in certain families, while not in others. Because macular degeneration is generally developed in the late-stages of one’s life, it is challenging to study successive generations. Further research is needed to determine any genetic association with hereditary macular degeneration."
Can Nutritional Changes Slow the Progression of Macular Degeneration?,"Research has found an association between macular degeneration and a diet high in saturated fat and low in carotenoid pigments. By eating a diet rich in fresh fruits and dark green, leafy vegetables, one can delay or diminish the severity of age-related macular degeneration. High doses of vitamins C, E, Beta carotene and zinc have also been found to significantly reduce the risk of visual loss."
"If I have macular degeneration in a single eye, will it develop in the other? "," Only one eye may be affected in the early stages, but as the disease progresses, the condition typically affects both eyes.  "
I’ve heard there are 2 types of AMD: what are they?,"Two types of AMD exist:  Dry macular degeneration, also known as atrophic AMD, is caused by the presence of yellow or white deposits called drusen growing behind the macula Wet macular degeneration, also known as exudative AMD, is caused by an overgrowth of small leaking blood vessels behind the retina The key signs and symptoms of both is a gradual loss of vision in the center of your line of sight."
Can macular degeneration be cured?,"As with any chronic, progressive health condition, there are treatments available that can help address or minimize symptoms, potentially slow progression, and help you lead a full life."
What is a low vision assessment?,A low vision assessment (LVA) determines how you can make use of your remaining vision. An Optometrist carries out the assessment at a hospital eye clinic or at home. The Optometrist will measure your useful vision and identify potential optical aids.
What can you expect during your LVA?,"During an LVA, the Optometrist will measure your functional vision for both close up and distance tasks. They will use eye charts and reading materials similar to the charts used in standard eye tests, but in a different way. The Optometrist will test other aspects of your vision using different tools, including:  The Snellen or LogMAR charts to test distance Near Vision test using differing font sizes Ishihara test to test colour perception. You will be asked to identify numbers contained within images made up of different coloured dots. Field of Vision test: looking directly forward and identifying numbers or lights in your peripheral vision. Also, you will get tested with the UK Driving Standard sight test"
How often should I have a LVA?,"As macular disease can progress and reduce your vision further, an LVA may be required to recommend new techniques and optical aids to help you use your remaining sight. If you find the glasses or optical aids you are using are no longer effective, talk to your Ophthalmologist or GP about completing another low vision assessment."
